,date,Country/Region,Confirmed,Deaths
320,2020-03-02,US,101.0,6.0
319,2020-03-01,Total,85332.0,2922.0
318,2020-03-01,Republic of Korea,0.0,0.0
317,2020-03-01,"Korea, South",0.0,0.0
316,2020-03-01,China,0.0,0.0
315,2020-03-01,Italy,1694.0,34.0
314,2020-03-01,South Korea,3736.0,17.0
313,2020-03-01,Mainland China,79826.0,2870.0
312,2020-03-01,US,76.0,1.0
311,2020-02-29,Total,83599.0,2881.0
310,2020-02-29,Republic of Korea,0.0,0.0
309,2020-02-29,"Korea, South",0.0,0.0
308,2020-02-29,China,0.0,0.0
307,2020-02-29,Italy,1128.0,29.0
306,2020-02-29,South Korea,3150.0,16.0
305,2020-02-29,Mainland China,79251.0,2835.0
304,2020-02-29,US,70.0,1.0
303,2020-02-28,Total,82111.0,2822.0
302,2020-02-28,Republic of Korea,0.0,0.0
301,2020-02-28,"Korea, South",0.0,0.0
300,2020-02-28,China,0.0,0.0
299,2020-02-28,Italy,888.0,21.0
298,2020-02-28,South Korea,2337.0,13.0
297,2020-02-28,Mainland China,78824.0,2788.0
296,2020-02-28,US,62.0,0.0
295,2020-02-27,Total,80979.0,2774.0
294,2020-02-27,Republic of Korea,0.0,0.0
293,2020-02-27,"Korea, South",0.0,0.0
292,2020-02-27,China,0.0,0.0
291,2020-02-27,Italy,655.0,17.0
290,2020-02-27,South Korea,1766.0,13.0
289,2020-02-27,Mainland China,78498.0,2744.0
288,2020-02-27,US,60.0,0.0
287,2020-02-26,Total,79838.0,2739.0
286,2020-02-26,Republic of Korea,0.0,0.0
285,2020-02-26,"Korea, South",0.0,0.0
284,2020-02-26,China,0.0,0.0
283,2020-02-26,Italy,453.0,12.0
282,2020-02-26,South Korea,1261.0,12.0
281,2020-02-26,Mainland China,78065.0,2715.0
280,2020-02-26,US,59.0,0.0
279,2020-02-25,Total,79012.0,2683.0
278,2020-02-25,Republic of Korea,0.0,0.0
277,2020-02-25,"Korea, South",0.0,0.0
276,2020-02-25,China,0.0,0.0
275,2020-02-25,Italy,322.0,10.0
274,2020-02-25,South Korea,977.0,10.0
273,2020-02-25,Mainland China,77660.0,2663.0
272,2020-02-25,US,53.0,0.0
271,2020-02-24,Total,78267.0,2608.0
270,2020-02-24,Republic of Korea,0.0,0.0
269,2020-02-24,"Korea, South",0.0,0.0
268,2020-02-24,China,0.0,0.0
267,2020-02-24,Italy,229.0,7.0
266,2020-02-24,South Korea,833.0,8.0
265,2020-02-24,Mainland China,77152.0,2593.0
264,2020-02-24,US,53.0,0.0
263,2020-02-23,Total,77730.0,2452.0
262,2020-02-23,Republic of Korea,0.0,0.0
261,2020-02-23,"Korea, South",0.0,0.0
260,2020-02-23,China,0.0,0.0
259,2020-02-23,Italy,155.0,3.0
258,2020-02-23,South Korea,602.0,6.0
257,2020-02-23,Mainland China,76938.0,2443.0
256,2020-02-23,US,35.0,0.0
255,2020-02-22,Total,77452.0,2445.0
254,2020-02-22,Republic of Korea,0.0,0.0
253,2020-02-22,"Korea, South",0.0,0.0
252,2020-02-22,China,0.0,0.0
251,2020-02-22,Italy,62.0,2.0
250,2020-02-22,South Korea,433.0,2.0
249,2020-02-22,Mainland China,76922.0,2441.0
248,2020-02-22,US,35.0,0.0
247,2020-02-21,Total,75731.0,2239.0
246,2020-02-21,Republic of Korea,0.0,0.0
245,2020-02-21,"Korea, South",0.0,0.0
244,2020-02-21,China,0.0,0.0
243,2020-02-21,Italy,20.0,1.0
242,2020-02-21,South Korea,204.0,2.0
241,2020-02-21,Mainland China,75472.0,2236.0
240,2020-02-21,US,35.0,0.0
239,2020-02-20,Total,75121.0,2237.0
238,2020-02-20,Republic of Korea,0.0,0.0
237,2020-02-20,"Korea, South",0.0,0.0
236,2020-02-20,China,0.0,0.0
235,2020-02-20,Italy,3.0,0.0
234,2020-02-20,South Korea,104.0,1.0
233,2020-02-20,Mainland China,74999.0,2236.0
232,2020-02-20,US,15.0,0.0
231,2020-02-19,Total,74595.0,2114.0
230,2020-02-19,Republic of Korea,0.0,0.0
229,2020-02-19,"Korea, South",0.0,0.0
228,2020-02-19,China,0.0,0.0
227,2020-02-19,Italy,3.0,0.0
226,2020-02-19,South Korea,31.0,0.0
225,2020-02-19,Mainland China,74546.0,2114.0
224,2020-02-19,US,15.0,0.0
223,2020-02-18,Total,74188.0,2002.0
222,2020-02-18,Republic of Korea,0.0,0.0
